%id,name,mfcc,scem,scom,srom,sbwm,tempo,rmse
134,Angel (Live).mp3,5.984499483,1777.566251,21.45458867,3898.109762,2247.092578,161.4990234,6.248867512
135,Anniversary - Radio Edit.mp3,1.475226826,2629.842184,21.64793538,5873.931148,2734.929565,89.10290948,3.963258028
136,"Baby, This Love I Have.mp3",-0.554018396,2119.068513,22.43290161,4437.098169,2293.621392,161.4990234,3.501132965
137,Bee Blues.mp3,-0.008894008,1390.242664,22.37557073,3006.55682,1976.764666,129.1992188,3.360394001
138,Begin The Beguine - Alternate Take.mp3,-0.20407014,1768.841269,22.52918279,3831.851829,2278.235229,92.28515625,3.510814667
139,Blue Monk.mp3,-1.216743955,1786.913239,22.35513251,4017.275708,2420.404915,103.359375,2.836167336
140,Blues for Sharpie.mp3,0.452922101,2484.395667,21.62449381,6717.251048,3132.485393,143.5546875,2.885711908
141,Brother Hiroshi.mp3,0.941665573,1863.693864,21.79550581,4347.507045,2356.991393,123.046875,4.050741673
142,Cambridge Place.mp3,0.744945704,1986.317892,20.58738193,4548.289164,2499.780958,151.9990809,3.521097422
143,Cantaloupe Island.mp3,-1.648346952,2136.486531,22.18124427,4694.729945,2336.205161,117.4538352,2.335929155
144,First Began.mp3,-2.346395519,1827.528383,21.5402491,3878.134883,2131.258411,73.828125,4.240890503
145,Garden of Delight.mp3,-1.385692234,1527.514449,21.57420594,3390.78783,2239.340344,107.6660156,2.461914539
146,Gramercy Sunset.mp3,-3.223134254,919.4032322,23.63006804,1623.715182,1326.876907,89.10290948,2.289993763
147,Ham Hocks and Cabbage.mp3,-6.427931799,1292.149973,21.80851539,2683.125442,1827.34756,123.046875,1.218586683
148,Have You Met Miss Jones.mp3,-4.366716638,2647.511687,22.84914931,5225.610068,2396.169517,129.1992188,1.283737898
149,Honeysuckle Rose.mp3,-1.811064248,1561.497474,20.24649234,3549.195205,2222.74761,83.35433468,1.810569406
150,Just in Time.mp3,-1.736870059,1524.272709,21.64234081,3009.531802,1998.982609,89.10290948,2.852495909
151,Keep You in Mind.mp3,6.805979451,1765.143249,21.32875662,3781.527134,2252.54204,112.3471467,8.500946045
152,Killer Joe.mp3,2.162190955,1731.933158,22.17518517,3942.434494,2322.519004,123.046875,4.406216145
153,Let's Call the Whole Thing Off.mp3,0.242864154,2289.094812,22.52354945,4823.054169,2465.323952,143.5546875,3.614852667
154,Let's Fall In Love.mp3,-3.275392654,2117.461251,23.67340072,4259.740909,2187.431701,151.9990809,2.236678362
155,London Blues.mp3,0.285643979,1825.328717,21.69274981,4089.483605,2368.318093,151.9990809,2.832918882
156,Love Jumped Out.mp3,-6.230336525,2996.676019,21.09008127,7056.573997,3086.369265,151.9990809,0.965166986
157,Lucky To Be Me.mp3,0.470472304,1419.756204,21.53206031,2951.490486,1922.332619,83.35433468,4.59078455
158,Mojo.mp3,-4.546151917,2956.279329,22.88252708,5930.564139,2635.667186,172.265625,2.049746752
159,New Orleans.mp3,-3.104224622,2114.143877,23.01585464,4574.414006,2357.054599,117.4538352,2.221541405
160,Nice Work If You Can Get It.mp3,-1.074585105,1317.439088,21.23946666,2712.71693,2031.070911,103.359375,2.176915884
161,No Ordinary Love - Remastered.mp3,2.81073461,1751.265885,20.24658637,4066.933741,2388.681929,112.3471467,6.815979958
162,One For Daddy-O.mp3,-5.192249836,3433.067,22.91212421,7567.962571,3127.311118,107.6660156,2.300926685
163,Remember - 1999 Digital Remaster.mp3,-0.899780332,2713.219888,21.4502232,6270.045419,2834.921374,83.35433468,4.437175751
164,Sandu.mp3,-2.231505697,2778.539982,22.01487641,5875.272806,2692.008451,143.5546875,3.247591734
165,Smoke Stack - 1999 Digital Remaster.mp3,0.519200121,3248.405903,20.07970783,6664.968031,2757.241396,107.6660156,4.27104187
166,So In Love - feat. Anthony Hamilton.mp3,5.469212035,2624.521817,19.62380389,5795.073291,2711.538404,103.359375,8.048274994
167,Spend The Night.mp3,3.225213215,2373.403172,21.98993026,5242.984963,2611.036994,89.10290948,4.926589966
168,Stella By Starlight.mp3,-0.554804634,1180.906624,22.09506694,2391.118875,1804.44107,89.10290948,2.910372496
169,Stockholm Sweetnin'.mp3,2.181470536,1736.838316,24.17987964,3616.669797,2032.189879,117.4538352,5.439447403
170,Stolen Moments.mp3,-4.909895994,1668.28519,25.42147655,3261.071947,1845.14234,117.4538352,2.616041422
171,Sun Out.mp3,-0.389005213,1684.087257,22.59821799,3832.376826,2389.607926,129.1992188,3.539618492
172,The Outlaw (Rudy Van Gelder Edition) [2007 - Remastered].mp3,-1.66631381,2054.933585,22.08137013,4520.380999,2379.583643,135.9991776,3.254687071
173,The Runaround.mp3,-0.051710237,1578.417401,20.85814311,3324.0049,2079.875539,129.1992188,3.456752777
174,They Didn't Believe Me.mp3,-2.204052201,1314.31131,23.69989951,2552.917896,1791.851312,135.9991776,2.698106527175175
175,am.wav,-8.87479483409,1085.60431834,26.5854833637,1909.27668729,1396.21518481,184.5703125, 0.0734518
